Date : 2023-01-12 15:37:51
Directory : /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys
Total : 183 files,  39970 codes, 4814 comments, 2903 blanks, all 47687 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-googlepay-redsys.php                     | PHP        |        493 |        171 |         53 |        717 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-insite-redsys.php                        | PHP        |      6,808 |        241 |        426 |      7,475 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-masterpass-redsys.php                    | PHP        |        657 |        125 |         50 |        832 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-paygold-redsys.php                       | PHP        |      1,367 |        170 |         69 |      1,606 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-preauthotizations-redsys.php             | PHP        |      6,191 |        419 |        411 |      7,021 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-redsys-bank-transfer.php                 | PHP        |        602 |        126 |         17 |        745 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-redsys-global.php                        | PHP        |      1,760 |        587 |        181 |      2,528 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-redsys-psd2.php                          | PHP        |        486 |        254 |         50 |        790 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-redsys-scheduled-actions.php             | PHP        |         53 |         33 |          7 |         93 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-redsys.php                               | PHP        |     10,496 |        473 |        672 |     11,641 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-redsys-profile.php                               | PHP        |        164 |         43 |          9 |        216 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-rest-redsys.php                                  | PHP        |         25 |         38 |          7 |         70 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-settings-tab-redsys-sort-invoices.php            | PHP        |        282 |        118 |         41 |        441 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Constants/ISConstants.php                     | PHP        |         94 |          4 |         14 |        112 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Log/redsysLog.log                             | Log        |          0 |          0 |          1 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Model/ISGenericXml.php                        | PHP        |        173 |          0 |         28 |        201 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Model/ISRequestInterface.php                  | PHP        |          5 |          0 |          0 |          5 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Model/ISResponseInterface.php                 | PHP        |          7 |          0 |          0 |          7 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Model/Impl/ISAuthenticationMessage.php        | PHP        |         76 |         25 |         15 |        116 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Model/Impl/ISDCCConfirmationMessage.php       | PHP        |         56 |         18 |          5 |         79 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Model/Impl/ISDCCElement.php                   | PHP        |         73 |         24 |          8 |        105 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Model/Impl/ISDCCResponseMessage.php           | PHP        |         75 |         21 |          8 |        104 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Model/Impl/ISOperationElement.php             | PHP        |        224 |         60 |         34 |        318 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Model/Impl/ISOperationMessage.php             | PHP        |        124 |        156 |         40 |        320 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Model/Impl/ISRequestElement.php               | PHP        |         51 |         15 |          8 |         74 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Model/Impl/ISResponseMessage.php              | PHP        |         36 |          6 |          2 |         44 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Service/ISOperationService.php                | PHP        |         89 |          0 |          9 |         98 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Service/Impl/ISAuthenticationService.php      | PHP        |         56 |          0 |         15 |         71 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Service/Impl/ISDCCConfirmationService.php     | PHP        |         68 |          0 |         12 |         80 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Service/Impl/ISService.php                    | PHP        |         90 |         20 |         20 |        130 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Utils/ISAnnotation.php                        | PHP        |         20 |          0 |          6 |         26 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Utils/ISLogger.php                            | PHP        |         79 |         58 |          6 |        143 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/Utils/ISSignatureUtils.php                    | PHP        |         68 |         47 |         14 |        129 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/apiRedsys7.php                                | PHP        |        118 |         75 |         20 |        213 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/apiRedsysWs7.php                              | PHP        |         58 |         52 |         17 |        127 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/index.php                                     | PHP        |          1 |          1 |          1 |          3 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/initRedsysApi.php                             | PHP        |          9 |          0 |          3 |         12 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/api-redsys/redsysLibrary.php                             | PHP        |         75 |         33 |         16 |        124 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/banner-live.php                                          | PHP        |        133 |          8 |          9 |        150 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/blocks.php                                               | PHP        |         11 |         10 |          4 |         25 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/data/allowed-currencies.php                              | PHP        |        221 |          8 |          4 |        233 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/data/countries.php                                       | PHP        |        257 |         12 |          4 |        273 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/data/currencies.php                                      | PHP        |        218 |          8 |          4 |        230 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/data/data.php                                            | PHP        |         15 |          5 |         12 |         32 |
